Happiness Rank,Family,Country,Region,Happiness Score,Dystopia Residual,Generosity,Health (Life Expectancy),Trust (Government Corruption),Upper Confidence Interval,Freedom,Lower Confidence Interval,Economy (GDP per Capita)
19,1.16157,Ireland,Western Europe,6.907,2.15988,0.44963,0.81455,0.29754,6.978,0.54008,6.836,1.48341
20,1.03999,Luxembourg,Western Europe,6.871,2.11055,0.27571,0.84542,0.35329,6.938,0.5487,6.804,1.69752
21,0.7146,Mexico,Latin America and Caribbean,6.778,3.55906,0.11735,0.71143,0.18355,6.876,0.37709,6.68,1.11508
22,0.86758,Singapore,Southeastern Asia,6.739,1.99375,0.32706,0.94719,0.46987,6.804,0.4877,6.674,1.64555
23,1.08672,United Kingdom,Western Europe,6.725,2.14999,0.50156,0.80991,0.27399,6.803,0.50036,6.647,1.40283
24,0.90587,Chile,Latin America and Caribbean,6.705,2.95505,0.31595,0.81883,0.11451,6.795,0.37789,6.615,1.2167
25,0.98912,Panama,Latin America and Caribbean,6.701,3.00559,0.2418,0.70835,0.08423,6.801,0.48927,6.601,1.18306
26,1.06612,Argentina,Latin America and Caribbean,6.65,3.12985,0.10989,0.69711,0.07296,6.74,0.42284,6.56,1.15137
27,1.00793,Czech Republic,Central and Eastern Europe,6.596,2.96211,0.09929,0.76376,0.03986,6.677,0.41418,6.515,1.30915
28,0.87114,United Arab Emirates,Middle East and Northern Africa,6.573,2.21507,0.26591,0.72993,0.35561,6.652,0.56215,6.494,1.57352
29,1.03143,Uruguay,Latin America and Caribbean,6.545,2.67139,0.18056,0.72183,0.21394,6.634,0.54388,6.456,1.18157
30,1.09879,Malta,Western Europe,6.488,1.99032,0.56237,0.80315,0.17554,6.567,0.54994,6.409,1.30782
31,1.02169,Colombia,Latin America and Caribbean,6.481,3.17471,0.15626,0.59659,0.05399,6.578,0.44735,6.384,1.03032
32,1.00508,France,Western Europe,6.478,2.4744,0.1216,0.83795,0.17808,6.559,0.46562,6.397,1.39488
33,1.04477,Thailand,Southeastern Asia,6.474,2.5796,0.58696,0.64915,0.02833,6.552,0.49553,6.396,1.0893
34,0.84829,Saudi Arabia,Middle East and Northern Africa,6.379,2.61482,0.15457,0.59267,0.30008,6.471,0.37904,6.287,1.48953
34,0.92624,Taiwan,Eastern Asia,6.379,2.61523,0.25495,0.79565,0.0663,6.453,0.32377,6.305,1.39729
36,0.87964,Qatar,Middle East and Northern Africa,6.375,1.58224,0.32388,0.71723,0.48049,6.572,0.56679,6.178,1.82427
37,1.12945,Spain,Western Europe,6.361,2.39663,0.17665,0.87896,0.06137,6.434,0.37545,6.288,1.34253
38,0.83309,Algeria,Middle East and Northern Africa,6.355,3.40904,0.07044,0.61804,0.16157,6.483,0.21006,6.227,1.05266
39,0.87119,Guatemala,Latin America and Caribbean,6.324,3.19863,0.28808,0.54039,0.08701,6.435,0.50379,6.213,0.83454
40,0.77866,Suriname,Latin America and Caribbean,6.269,3.06852,0.16665,0.50933,0.12692,6.465,0.52234,6.073,1.09686
41,0.87758,Kuwait,Middle East and Northern Africa,6.239,2.28085,0.15965,0.63569,0.23669,6.324,0.43166,6.154,1.61714
42,0.94397,Bahrain,Middle East and Northern Africa,6.218,2.27405,0.17147,0.65696,0.25772,6.308,0.47375,6.128,1.44024
43,0.98569,Trinidad and Tobago,Latin America and Caribbean,6.168,2.51394,0.31935,0.52608,0.01241,6.386,0.48453,5.95,1.32572
